Author,Comment,Likes,Published_At,Replies
@alec__,THE SONG WAS SO GOOD (and I won&#39;t talk about the MV cause I&#39;d like to keep my self respect thank you),3,2025-03-29T22:43:35Z,0
@RobertoHernandez-io1pc,YAY!!!ONE MORE THIS WONDERFUL COMBINATION!THEY LIKE CHAINS,6,2025-03-29T22:43:12Z,0
@angelinalandis8703,Why is it whenever chan and hyunjin do a song together it always has to have chains and it has to be a little sus like what😂 I still love this song tho💙,1,2025-03-29T22:39:51Z,0
@ConstançaRoque,The Portuguese STAYs want you here. Come to Portugal. We expect a show❤❤❤❤❤❤🎉,3,2025-03-29T22:34:21Z,0
@nadd.khlsh__,been listening to this song since the day this dropped and now I&#39;m OBSESSED 😔,7,2025-03-29T22:27:59Z,0
@RaNiyaa-j7u,"Did anyone else notice that they used a clip from red lights at time <a href=""https://www.youtube.com/watch?v=LvCmsOWPwKA&amp;t=61"">1:01</a> and in red lights it’s time <a href=""https://www.youtube.com/watch?v=LvCmsOWPwKA&amp;t=17"">0:17</a> !!!",4,2025-03-29T22:20:29Z,0
@ikramele,the vibe of this song makes me levitate idk how to describe it,22,2025-03-29T22:11:46Z,0
@steffiOT8,Almost 8.5M for this piece of art!,7,2025-03-29T22:04:23Z,0
@sleepyp480,Why do i find this mv so romantic?? I keep squealing and kicking my feet each time &gt;///&lt; YAAAAAH THEIR ACTING.,2,2025-03-29T21:51:13Z,0
@Zuzana-g3x,"This kinda reminds me of Red Lights, but ilalso it&#39;s so original. Chan&#39;s vocals are super amazing, Hyunjin&#39;s acting skills are wonderful, he could easily play a villain in movies. I&#39;m really impressed. Good job you two 👏🏻",7,2025-03-29T21:50:27Z,0
@Kim_V-M,"Love the video, like how it tells a story.  For those who play Dead by Daylight, Hyunjin gives me The Trickster vibe in this video.  Only if his hair was just a little bit longer on top.",3,2025-03-29T21:43:21Z,0
@MyDearKyoKun,Was that a... Romeo and Juliet reference?,4,2025-03-29T21:38:35Z,0
@Polina-kg6ic,Somehow it reminds me T.a.t.u not gonna get us. It just came to my mind,1,2025-03-29T21:37:10Z,0
@saraig8291,"And I’m sorry for hyunjin because he has to deal with this just because he&#39;s older than him and has to follow the leader&#39;s instructions. Ah, this is frustrating. I love you Hyunjin ❤",0,2025-03-29T21:34:00Z,2
@IsueziZoeAmagada,collab always hits,3,2025-03-29T21:32:04Z,0
@saraig8291,"Very bad repeating the Red Light song , Why Chan seem obsessed with chains, beatings and violence , Does he have any problems? If you have problems, don&#39;t drag the members into this. Stay away, take a vacation, see a psychiatrist, but don&#39;t spread the culture of sadism and violence as if it&#39;s something normal.",0,2025-03-29T21:31:14Z,3
@Minsung-o4z,my heart:))),1,2025-03-29T21:13:38Z,0
@JUJUZINHADIVAAA,Red light pt 2,2,2025-03-29T21:12:38Z,0
@FreddieSlays,I can’t with the running at the start,1,2025-03-29T21:06:43Z,0
